Batesville,  Miss.	34-19N	89-57W
Batesville,  Tax.	28-58N	99-37W
Bath, Maine	43-55N	69-49W
Bath, N.Y.	42-20N	77-19W
Baton Rouge	30-27N	91-11W
Battle Creek	42-19N	85-11W
Battle Ground	45-47N	122-32W
Battle Lake	46-17N	95-43W
Battle  Mountain	40-38N	116-56W
Baudette	48-43N	94-36W
Baxley	31-47N	82-21W
Baxter	46-21N	94-17W
Baxter  Springs	37-02N	94-44W
Bay City,  Mich.	43-36N	83-54W
Bay City,  Tex.	28-59N	95-58W
Bay Minette	30-53N	87-46W
Bay St. Louis	30-19N	86-20W
Bay Springs	31-59N	89-17W
Bayard, N.  Mex.	32-46N	108-08W
Bayard, Nebr.	41-45N	103-20W
Bayfield	46-49N	90-49W
Bayonne	40-40N	74-07W
Baytown	29-43N	94-59W
Beach	46-58N	104-00W
Beach City	40-39N	81-35W
Beals Cr.	32-10N	100-51W
Bear, Calif.	38-56N	121-36W
Bear, Utah	41-30N	112-08W
Bear L.	41-59N	111-21W
Beardstown	24-20N	79-51E
Bearpaw Mts	48-12N	109-30W
Beatrice	40-16N	96-45W
Beatty	36-54N	116-46W
Beaufort,  N.C.	34-43N	76-40W
Beaufort,  S.C.	32-26N	80-40W
Beaumont	30-05N	94-06W
Beaver, Okla.	36-49N	100-31W
Beaver, Pa.	40-42N	80-19W
Beaver, Utah	38-17N	112-38W
Beaver	36-35N	99-30W
Beaver City	40-08N	99-50W
Beaver Dam	43-28N	88-50W
Beaver Falls	40-46N	80-20W
Beaver I.	45-40N	85-33W
Beaverton	45-29N	122-48W
Beckley	37-47N	81-11W
Bedford, Ind.	38-52N	86-29W
Bedford, Iowa	40-40N	94-44W
Bedford, Ohio	41-23N	81-32W
Bedford, Pa.	40-01N	78-30W
Bedford, Va.	37-20N	79-31E
Beech Creek	41-05N	77-36W
Beeville	28-24N	97-45W
Behm Canal	55-10N	131-00W
Belden	40-02N	121-17W
Belen	34-40N	106-46W
Belfair	47-27N	122-50W
Belfast,  Maine	44-26N	69-01W
Belfast, N.Y.	42-21N	78-07W
Belfield	46-53N	103-12W
Belfry	45-53N	103-12W
Belgrade	45-47N	111-11W
Belhaven	35-33N	76-37W
Bellaire	40-01N	80-45W
Belle-Chasse	29-51N	89-59W
Belle Fourche	44-40N	103-51W
Belle Fourche	44-26N	102-18W
Belle Glade	26-41N	80-40W
Belle Plaine	41-54N	92-17W
Bellefontaine	40-22N	83-46W
Bellefonte	40-55N	77-47W
Belleville,  III.	38-31N	89-59W
Belleville,  Kans.	39-50N	97-38W
Belleville,  N.Y.	43-46N	76-10W
Bellevue,  Idaho	43-28N	114-16W
Bellevue,  Nebr.	41-08N	95-53W
Bellevue,  Ohio	41-17N	82-51W
Bellevue,  Wash.	47-37N	122-12W
Bellingham	48-46N	122-29W
Bellows Falls	43-08N	72-27W
Bellwood	40-36N	78-20W
Belmont	42-14N	78-02W
Beloit, Kans.	39-28N	98-06W
Beloit, Wis.	42-31N	89-02W
Belpre	39-17N	81-34W
Belt	47-23N	110-55W
Belton	31-03N	97-28W
Belton L.	31-08N	97-32W
Belvidere,  III.	42-15N	88-50W
Belvidere,  N.J.	40-50N	75-05W
Belzoni	33-11N	90-29W
Bemidji	47-28N	94-53W
Benavides	27-36N	98-25W
Bend	44-04N	121-19W
Benicia	38-03N	122-09W
Benkelman	40-03N	101-32W
Bennettsville	34-37N	79-41W
Bennington,  N. H.	43-00N	71-55W
Bennington,  Vt.	42-53N	73-12W
Benson, Ariz	31-58N	110-18W
Benson Minn.	45-19N	95-36W
Benton, Ark.	34-34N	92-35W
Benton, Calif	37-48N	118-32W
Benton, III.	38-00N	88-55W
Benton, Pa.	41-12N	76-23W
Benton Harbor	42-06N	86-27W
Bentonville	36-22N	94-13W
Berea	37-34N	84-17W
Beresford	43-05N	96-47W
Bergen	43-05N	77-57W
Bergholz	40-31N	80-53W
Berkeley	37-52N	122-16W
Berkshire	42-19N	76-11W
Berlin, Md.	38-20N	75-13W
Berlin, N.H.	44-28N	71-11W
Berlin, N.Y.	42-42N	73-23W
Berlin, Wis.	43-58N	88-57W
Berlin L.	41-03N	81-00W
Bernalillo	35-18N	106-33W
Bernardsville	40-43N	74-34W
Berryessa L.	38-31N	122-06W
Berryville	36-22N	93-34W
Berthold	48-19N	105-05W
Berthoud	40-19N	105-05W
Berwick	41-03N	76-14W
Bessemer,  Ala.	33-24N	86-58W
Bessemer,  Mich.	46-29N	90-03W
Bessemer, Pa.	40-59N	80-30W
Bethany	40-16N	94-02W
Bethel,  Alaska	60-48N	161-45W
Bethel, Conn.	41-22N	73-25W
Bethel, Maine	44-25N	70-47W
Bethel, Vt.	43-50N	72-38W
Bethel Park	40-20N	80-01W
Bethlehem	40-37N	75-23W
Bettendorf	41-32N	90-30W
Beulah, N.  Dak.	47-16N	101-47W
Beverley  Hills	28-56N	82-28W
Beverly	42-33N	70-53W
Beverly Hills	34-04N	118-25W
Biddeford	43-30N	70-28W
Bieber	41-07N	121-08W
Big Bear City	34-16N	116-51W
Big Bear Lake	34-15N	116-56W
Big Belt Mts.	46-30N	111-25W
Big Bend Nat.  Park	29-20N	103-05W
Big Black	32-03N	91-04W
Bib Blue	39-35N	96-34W
Big Creek	37-11N	119-14W
Big Cypress  Nat. Preserve	26-00N	81-10W
Big Cypress  Swamp	26-15N	81-30W
Big Falls	48-12N	93-48W
Big Fork	48-31N	93-43W
Big Horn Mts.  = Bighorn Mts.	44-30N	107-30W
Big Lake	31-12N	101-28W
Big Moose	43-49N	74-58W
Big Muddy Cr.	48-08N	104-36W
Big Pine	37-10N	118-17W
Big Piney	42-32N	110-07W
Big Repids	43-42N	85-29W
Big Run	40-57N	78-55W
Big Sable Pt.	44-03N	86-01W
Big Sandy	48-11N	110-07W
Big Sandy	38-25N	82-36W
Big Sandy Cr.	38-07N	102-29W
Big Sioux	42-29N	96-27W
Big Spring	32-15N	101-28W
Big Stone  City	45-18N	96-28W
Big Stone Gap	36-52N	82-47W
Big Stone L.	45-30N	96-35W
Big Sur	36-15N	121-48W
Big Timber	45-50N	109-57W
Biggs	39-25N	121-43W
Bighorn	46-10N	107-27W
Bighorn	46-10N	107-28W
Bighorn L.	44-55N	108-15W
Bighorn Mts.	44-30N	107-30W
Billings	45-47N	108-30W
Biloxi	30-24N	88-53W
Bingham	45-03N	69-53W
binghamton	42-06N	75-55W
Birmingham	33-31N	86-48W
Bisbee	31-27N	109-55W
Biscayne B.	25-40N	80-12W
Bishop,  Calif.	37-22N	118-24W
Bishop, Tex.	27-35N	97-48W
Bismarck	46-48N	100-47W
Bison	45-31N	102-28W
Bitter Creek	41-33N	108-33W
Bitterroot	46-52N	114-07W
Bitterroot  Range	46-00N	114-20W
Bitterwater	36-23N	121-00W
Biwabik	47-32N	92-21W
Bixby	35-57N	95-53W
Black, Ariz.	33-44N	110-13W
Black, Ark.	35-38N	91-20W
Black, Mich	42-59N	82-27W
Black, N.Y.	43-59N	76-04W
Black, Wis.	43-57N	91-22W
Black Forest	39-00N	104-43W
Black Hills	44-00N	103-45W
Black L.  Mich.	45-28N	84-16W
Black L. N.Y.	44-31N	75-36W
Black Mesa	36-58N	102-58W
Black Range	33-15N	107-50W
Black River  Falls	44-18N	90-51W
Black Warrior	32-32N	87-51W
Blackfoot	43-11N	112-21W
Blackfoot  River Reservoir	43-00N	111-43W
Blackriver	44-46N	83-17W
Blacksburg	37-14N	80-25W
Blackstone	37-04N	78-00W
Blackwell	36-48N	97-17W
Blackwells  Corner	35-37N	119-47W
Blain	40-20N	77-31W
Blaine, Minn.	45-10N	93-13W
Blaine, Wash.	48-59N	122-45W
Blair	41-33N	96-08W
Blairsden	39-47N	120-37W
Blairsville	40-26N	79-16W
Blake Pt.	48-11N	88-25W
Blakely, Ga.	31-23N	84-56W
Blakely, Pa.	41-28N	75-37W
Blanca Peak	37-35N	105-29W
Blanco	30-06N	98-25W
Blanco, C.	42-51N	124-34W
Blanding	37-37N	109-29W
Blasdel	42-48N	78-50W
Bliss, Idaho	42-56N	114-57W
Bliss, N.Y.	42-34N	78-15W
Blissfield	40-24N	81-58W
Block I.	41-11N	71-35W
Block Island  Sd.,	41-15N	71-40W
Bloomer	45-06N	91-27W
Bloomfield,  Iowa	40-45N	92-25W
Bloomfield,  N. Mex.	36-43N	107-59W
Bloomfield,  Nebr.	42-36N	97-39W
Bloomington,  III.	40-28N	89-00W
Bloomington,  Ind.	39-10N	86-32W
Bloomington,  Minn.	44-50N	93-17W
Bloomsburg	41-00N	76-27W
Blossburg	41-41N	77-04W
Blountstown	30-27N	85-03W
Blue Earth	43-38N	94-06W
Blue Mesa  Reservoir	38-28N	107-20W
Blue Mountain  Lake	43-52N	74-30W
Blue Mts.  Maine	44-50N	70-35W
Blue Mts.  Oreg.	45-15N	119-00W
Blue Mts. Pa.	40-30N	76-30W
Blune Rapids	39-41N	96-39W
Blue Ridge  Mts.	36-30N	80-15W
Bluefield	37-15N	81-17W
Bluff	37-17N	109-33W
Bluffton	40-44N	85-11W
Blunt	44-31N	99-59W
Bly	42-24N	121-03W
Blythe	33-37N	114-36W
Blytheville	35-56N	89-55W
Boalsburg	40-46N	77-47W
Boardman	41-02N	80-40W
Boca Raton	26-21N	80-05W
Bodega Bay	38-20N	123-03W
Boerne	29-47N	98-44W
Bogalusa	30-47N	89-52W
Bogata	33-28N	95-13W
Boise	43-37N	116-13W
Boise City	36-44N	102-31W
Bolivar, Mo.	37-37N	93-25W
Bolivar, N.  Y.	42-04N	78-10W
Bolivar,  Tenn.	35-12N	89-00W
Bolton  Landing	43-32N	73-35W
Bonham	33-35N	96-11W
Bonne Terre	37-55N	90-33W
Bonners Ferry	48-42N	116-19W
Bonsall	33-16N	117-14W
Booker	36-27N	100-32W
Boone, Iowa	42-04N	93-53W
Boone, N.C.	36-13N	81-41W
Booneville,  Ark.	35-08N	93-55W
Booneville,  Miss.	34-39N	88-34W
Boonville,  Calif.	39-01N	123-22W
Boonville,  Ind.	38-03N	87-16W
Boonville,  Mo.	38-58N	92-44W
Boonville,  N.Y.	43-29N	75-20W
Borah Peak	44-08N	113-47W
Borger	35-39N	101-24W
Boron	35-00N	117-39W
Borrego  Springs	33-15N	116-23W
Bosque Farms	34-53N	106-40W
Bossier City	32-31N	93-44W
Boston	42-22N	71-04W
Boston Mts.	35-42N	93-15W
Boswell	40-10N	79-02W
Bottineau	48-50N	100-27W
Boulder,  Colo.	40-01N	105-17W
Boulder,  Mont.	46-14N	112-07W
Boulder City	35-59N	114-50W
Boulder Creek	37-07N	122-07W
Boulder Dam =  Hoover Dam.	36-01N	114-44W
Boundary Peak	37-51N	118-21W
Bountiful	40-53N	111-53W
Bouse	33-56N	114-00W
Bovill	46-51N	116-24W
Bowbells	48-48N	102-15W
Bowdle	45-27N	99-39W
Bowie Ariz.	32-19N	109-29W
Bowie Tex.	33-34N	97-51W
Bowling  Green, K.Y.	36-59N	86-27W
Bowling  Green, Ohio	41-23N	83-39W
Bowman	46-11N	103-24W
Boyce	31-23N	92-40W
Boyne City	45-13N	85-01W
Boynton Beach	26-32N	80-04W
Boysen  Reservoir	43-25N	108-11W
Bozeman	45-41N	111-02W
Brackettville	29-19N	100-25W
Bradenton	27-30N	82-34W
Bradford, Pa.	41-58N	78-38W
Bradford, Vt.	43-59N	72-09W
Bradley, Ark.	33-06N	93-39W
Bradley,  Calif.	35-52N	120-48W
Brady	31-09N	99-20W
Brainerd	46-22N	94-12W
Braintree	42-13N	71-00W
Brandon	43-48N	73-04W
Branfort	41-17N	72-49W
Branson	36-39N	93-13W
Brasher Falls	44-49N	74-47W
Brasstown  Bald	34-53N	83-49W
Brattleboro	42-51N	72-34W
Bravo del  Norte, Rio = Grande, Rio	25-58N	97-09W
Brawley	32-59N	115-31W
Brazil	39-32N	87-08W
Brazos	28-53N	95-23W
Breckenridge,  Colo.	39-29N	106-03W
Breckenridge,  Minn.	46-16N	96-35W
Breckenridge,  Tex.	32-45N	98-54W
Bremerton	47-34N	122-38W
Brenham	30-10N	96-24W
Brent	32-56N	87-10W
Brentwood,  Calif.	37-56N	121-42W
Brentwood,  N.Y.	40-47N	73-15W
Breton Sd.	29-35N	89-15W
Brevard	35-14N	82-44W
Brewer	44-48N	68-46W
Brewer, Mt.	36-44N	118-28W
Brewster,  N.Y.	41-23N	73-37W
Brewster,  Ohio	40-43N	81-36W
Brewster,  Wash.	48-06N	119-47W
Brewton	31-07N	87-04W
Bridgehampton	40-56N	72-19W
Bridgeport,  Calif.	38-15N	119-14W
